Priority,Package,ClassName,FilePath,Effort,TestType,Dependencies,Rationale
CRITICAL,com.supremeai.agent,DiOSAgent,src/main/java/com/supremeai/agent/DiOSAgent.java,Medium (1 day),Both,Service,"DiOSAgent is an autonomous agent that performs independent operations. Untested risks incorrect agent decisions, infinite loops, resource leaks, and unintended side effects on shared systems."
CRITICAL,com.supremeai.agent,EWebAgent,src/main/java/com/supremeai/agent/EWebAgent.java,Medium (1 day),Both,Service,"EWebAgent is an autonomous agent that performs independent operations. Untested risks incorrect agent decisions, infinite loops, resource leaks, and unintended side effects on shared systems."
CRITICAL,com.supremeai.agent,FDesktopAgent,src/main/java/com/supremeai/agent/FDesktopAgent.java,Medium (1 day),Both,Service,"FDesktopAgent is an autonomous agent that performs independent operations. Untested risks incorrect agent decisions, infinite loops, resource leaks, and unintended side effects on shared systems."
CRITICAL,com.supremeai.agent,GPublishAgent,src/main/java/com/supremeai/agent/GPublishAgent.java,Medium (1 day),Both,Service,"GPublishAgent is an autonomous agent that performs independent operations. Untested risks incorrect agent decisions, infinite loops, resource leaks, and unintended side effects on shared systems."
CRITICAL,com.supremeai.agentorchestration,AgentOrchestrationController,src/main/java/com/supremeai/agentorchestration/AgentOrchestrationController.java,Medium (1 day),Both,"CodeGenerationService,Firestore/Firebase","AgentOrchestrationController is a REST endpoint that handles critical user/admin operations. Untested risks broken API contracts, security flaws (authentication/authorization bypass), incorrect HTTP status codes, and malformed request/response payloads that directly impact production users and system security."
CRITICAL,com.supremeai.agentorchestration,AutonomousVotingService,src/main/java/com/supremeai/agentorchestration/AutonomousVotingService.java,Medium (1 day),Both,Service,"AutonomousVotingService is an autonomous agent that performs independent operations. Untested risks incorrect agent decisions, infinite loops, resource leaks, and unintended side effects on shared systems."
CRITICAL,com.supremeai.agentorchestration,OrchesResultContext,src/main/java/com/supremeai/agentorchestration/OrchesResultContext.java,Medium (1 day),Both,Minimal (self-contained),"OrchesResultContext is an autonomous agent that performs independent operations. Untested risks incorrect agent decisions, infinite loops, resource leaks, and unintended side effects on shared systems."
CRITICAL,com.supremeai.agentorchestration,Question,src/main/java/com/supremeai/agentorchestration/Question.java,Medium (1 day),Both,Minimal (self-contained),"Question is an autonomous agent that performs independent operations. Untested risks incorrect agent decisions, infinite loops, resource leaks, and unintended side effects on shared systems."
CRITICAL,com.supremeai.agentorchestration,VotingDecision,src/main/java/com/supremeai/agentorchestration/VotingDecision.java,Medium (1 day),Both,Minimal (self-contained),"VotingDecision is an autonomous agent that performs independent operations. Untested risks incorrect agent decisions, infinite loops, resource leaks, and unintended side effects on shared systems."
CRITICAL,com.supremeai.ai.provider,AIProvider,src/main/java/com/supremeai/ai/provider/AIProvider.java,Medium (1 day),Both,"HTTP client mock, AI API stubs","AIProvider integrates external AI services (OpenAI, Gemini, etc.). Untested risks provider connection failures, malformed prompts, incorrect response parsing, and degraded AI quality affecting all AI-powered features."
CRITICAL,com.supremeai.ai.provider,LegacyGeminiProvider,src/main/java/com/supremeai/ai/provider/LegacyGeminiProvider.java,Medium (1 day),Both,"SecretManagerService,Service","LegacyGeminiProvider integrates external AI services (OpenAI, Gemini, etc.). Untested risks provider connection failures, malformed prompts, incorrect response parsing, and degraded AI quality affecting all AI-powered features."
CRITICAL,com.supremeai.ai.provider,OpenAIProvider,src/main/java/com/supremeai/ai/provider/OpenAIProvider.java,Medium (1 day),Both,"HTTP client mock, AI API stubs","OpenAIProvider integrates external AI services (OpenAI, Gemini, etc.). Untested risks provider connection failures, malformed prompts, incorrect response parsing, and degraded AI quality affecting all AI-powered features."
CRITICAL,com.supremeai.controller,ActivitySummaryController,src/main/java/com/supremeai/controller/ActivitySummaryController.java,Medium (1 day),Integration,"MockMvc, WebTestClient, Security context, JSON assertions","ActivitySummaryController is a REST endpoint that handles critical user/admin operations. Untested risks broken API contracts, security flaws (authentication/authorization bypass), incorrect HTTP status codes, and malformed request/response payloads that directly impact production users and system security."
CRITICAL,com.supremeai.controller,AdminChatController,src/main/java/com/supremeai/controller/AdminChatController.java,Medium (1 day),Integration,"MockMvc, WebTestClient, Security context, JSON assertions","AdminChatController is a REST endpoint that handles critical user/admin operations. Untested risks broken API contracts, security flaws (authentication/authorization bypass), incorrect HTTP status codes, and malformed request/response payloads that directly impact production users and system security."
